Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000085.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000086.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000087.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000088.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000089.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000090.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000091.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000092.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000093.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000094.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000095.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000096.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000097.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000098.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000099.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000100.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000101.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000102.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000103.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,00000104.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-1.60C_0.17mins_10.000secs_00000118.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-10.00C_0.17mins_3x3_00000106.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-10.80C_0.17mins_10.000secs_00000127.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-10.80C_0.17mins_10.000secs_00000132.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_2.60C_10.000secs_00000144.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-7.10C_0.17mins_10.000secs_00000122.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-9.70C_0.17mins_10.000secs_00000137.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_B Filter_-9.80C_0.17mins_3x3_00000111.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_G Filter_-10.00C_0.17mins_3x3_00000112.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_G Filter_-10.50C_0.17mins_10.000secs_00000133.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_G Filter_-11.00C_0.17mins_10.000secs_00000128.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_G Filter_-2.60C_0.17mins_10.000secs_00000119.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,PoorImages-AnikF1,light_G Filter_2.80C_10.000secs_00000145.fit,,-,,,,
